Name,Value,Dirn,Parameters,Description
MSP_API_VERSION,1,O,"Uint8: MSP_Protocol Version
Uint8: API Version Major
Uint8: API Version Minor","Get API version information
Protocol version is always 0, even when illogical"
MSP_FC_VARIANT,2,O,uint8[4] : Flight Controller ID,"Get FC firmware variant
e.g. “INAV”"
MSP_FC_VERSION,3,O,"uint8: FC Version Major
Uint8: FC Version Minor
Uint8: FC Version Patch Level",Get FC firmware version
MSP_BOARD_INFO,4,O,"Uint8[4]: Board Identifier
uint16: Hardware Revision Number","Get board identification
e.g. “MKF4”"
MSP_BUILD_INFO,5,O,"Uint8[11] : buildDate
Uint8[8] : buildTime
Uint8[8] : GitRevision",Get firmware build information
MSP_INAV_PID,6,O,"uint8: aysnc mode
Uint16 : Acc Task Frequency
Uint16: attitude Task Frequency
Uint8 : Heading Hold Rate Limit
Uint8:  Heading Hold Error LPF freq
Uint16: Yaw jump prevention limit
Uint8: Gyro LPF
Uint8:  Acc soft LPF hz
Uint8[4]: reserved (set to 0) ",Get miscellaneous PID settings
MSP_SET_INAV_PID,7,I,"uint8: aysnc mode
Uint16 : Acc Task Frequency
Uint16: attitude Task Frequency
Uint8 : Heading Hold Rate Limit
Uint8:  Unused (aka Heading Hold Error LPF freq)
Uint16: Yaw jump prevention limit
Uint8: Gyro LPF
Uint8:  Acc soft LPF hz
Uint8[4]: reserved (set to 0) ",Set miscellaneous PID settings
MSP_NAME,10,O,"(not implemented, CLI only)",Get baord ‘friendly’ name
MSP_SET_NAME,11,I,"(not implemented, CLI only)",Set baord ‘friendly’ name
MSP_NAV_POSHOLD,12,,"Uint8 : User_control_mode 
Uint16 : max_auto_speed
Uint16 : Auto climb rate
Uint16 : Max_manual_speed
Uint16 : Max manual climb rate
Uint8: Multirotot  max bank angle
Uint8:  Use mid-throttle for althold
Uint8: Multirotor hover throttle","Get MR related NAV/POSHOLD information
Speeds and rates in cm/s"
MSP_SET_NAV_POSHOLD,13,,"Uint8 : User_control_mode 
Uint16 : max_auto_speed
Uint16 : Auto climb rate
Uint16 : Max_manual_speed
Uint16 : Max manual climb rate
Uint8: Multirotot  max bank angle
Uint8:  Use mid-throttle for althold
Uint8: Multirotor hover throttle","Set MR related NAV/POSHOLD information
Speeds and rates in cm/s"
MSP_CALIBRATION_DATA,14,,"Uint16 : accZero.raw[X]
Uint16 : accZero.raw[Y]
Uint16 : accZero.raw[Z]
Unit16 : accGain.raw[X]
Unit16 : accGain.raw[Y]
Unit16 : accGain.raw[Z]
",Read Accelerometer calibration data
MSP_SET_CALIBRATION_DATA,15,,"Uint16 : accZero.raw[X]
Uint16 : accZero.raw[Y]
Uint16 : accZero.raw[Z]
Unit16 : accGain.raw[X]
Unit16 : accGain.raw[Y]
Unit16 : accGain.raw[Z]",Write  Accelerometer calibration data
MSP_POSITION_ESTIMATION_CONFIG,16,,"Uint16 : inav_w_z_baro_p float as value * 100
Uint16 : inav_w_z_gps_p  float as value * 100
Uint16 : inav_w_z_gps_v  float as value * 100
Uint16 : inav_w_xy_gps_p float as value * 100
Uint16:  inav_w_xy_gps_v float as value * 100
Uint8 :  gpsMinSats
Uint8 : inav_use_gps_velned ON/OFF
",Get position estimator settings
MSP_SET_POSITION_ESTIMATION_CONFIG,17,,"Uint16 : inav_w_z_baro_p float as value * 100
Uint16 : inav_w_z_gps_p  float as value * 100
Uint16 : inav_w_z_gps_v  float as value * 100
Uint16 : inav_w_xy_gps_p float as value * 100
Uint16:  inav_w_xy_gps_v float as value * 100
Uint8 :  gpsMinSats
Uint8 : inav_use_gps_velned ON/OFF
",Set position estimator settings
MSP_WP_MISSION_LOAD,18,,Uint8 : mission ID (reserved),Load mission from NVRAM
MSP_WP_MISSION_SAVE,19,,Uint8 : mission ID (reserved),Save mission to NVRAM
MSP_WP_GETINFO,20,,"Uint8 : unused              // Reserved for waypoint capabilities
Uint8 : NAV_MAX_WAYPOINTS  // Maximum number of waypoints supported
Uint8 : IsValid  // Is current mission valid
Uint8 : waypoint_count   // Number of waypoints in current mission",Get information about mission ** in RAM **
MSP_RTH_AND_LAND_CONFIG,21,,"Uint16 : min_rth_distance
Uint8 :  rth_climb_first
Uint8 : rth_climb_ignore_emerg
uint8 :  rth_tail_first
uint8 : rth_allow_landing
uint8 : rth_alt_control_mode
uint16 : rth_abort_threshold
uint16 : rth_altitude
uint16 : land_descent_rate
uint16 : land_slowdown_minalt
uint16 : land_slowdown_maxalt
uint16 : emerg_descent_rate",Get RTH settings
MSP_SET_RTH_AND_LAND_CONFIG,22,,"Uint16 : min_rth_distance
Uint8 :  rth_climb_first
Uint8 : rth_climb_ignore_emerg
uint8 :  rth_tail_first
uint8 : rth_allow_landing
uint8 : rth_alt_control_mode
uint16 : rth_abort_threshold
uint16 : rth_altitude
uint16 : land_descent_rate
uint16 : land_slowdown_minalt
uint16 : land_slowdown_maxalt
uint16 : emerg_descent_rate
",Set RTH settings
